armor_id,armor_name,armor_type_id
1,Band's Polarized Sunglasses,1
2,Band's Touring Bracelet,2
3,Band's Leather Jacket with Studs,3
4,Band's Ankle Boots With Rivets,4
5,Champion's Headgear,1
6,Champion's Heavy Gloves,2
7,Champion's Chest Guard,3
8,Champion's Fleetfoot Boots,4
9,Eagle's Beaked Helmet,1
10,Eagle's Soaring Ring,2
11,Eagle's Winged Suit,3
12,Eagle's Quilted Puttees,4
13,Firesmith's Obsidian Goggles,1
14,Firesmith's Ring of Fire,2
15,Firesmith's Apron,3
16,Firesmith's Alloy Leggings,4
17,Ardent Censer,5
18,Seraph's Embrace,5
19,Shard of True Ice,5
20,Anathema's Chains,5
21,Dead Man's Plate,3
22,Berserkers Greaves,4
23,Abyssal Mask,1
24,The Collector,2
25,Lightning Braid,5
26,Hunter's Frozen Hood,1
27,Hunter's Frozen Gloves,2
28,Hunter's Ice Dragon Cloak,3
29,Hunter's Icewalking Boots,4
30,Zhonya's Hourglass,5
