skill_id,skill_name,class_name
1,Decisive Strike,1
2,Judgment,1
3,Ice Shard,5
4,Ring of Frost,5
5,Glacial Path,5
6,Frozen Tomb,5
7,Ace in the Hole,7
8,Enchanted Crystal Arrow,7
9,Infernal Chains,1
10,Umbral Dash,6
11,Void Surge,7
12,Pillar of Flame,5
13,Conflagration,5
14,Stand Behind Me,4
15,Unbreakable,4
16,Decimate,1
17,Shield of Durand,4
18,Justice Punch,4
19,Life Touch,3
20,Astral Infusion,3
21,Wish,3
22,Savagery,6
23,Thrill of the Hunt,6
24,Blade's End,6
25,Shadow Assault,6
26,Pyre Ball,5
27,Breath of Life,3
28,Starlight,3
29,Ardent Blaze,7
30,Relentless Pursuit,7
31,Whirling Death,7
32,Mystic Shot,7
33,Steadfast Presence,4
34,Titan's Wrath,4
35,Unstoppable Force,4
